Platform Information: 

  CPU: Intel Pentium Gold G5500T (3.2G)
       HyperThread and HardwarePrefetch Disabled
  Mainboard: ASRock H370M-ITX/ac
  Memory: 2 * Corsair DDR4-2400 8G (1 rank, 16 banks)
  OS: Windows 7 x64 (7601)


Results of X86 version:

Real Time Clock Latency: 31
Cache miss: 229 (260 - 31)  Cache hit: 2 (33 - 31)
Instruction mul: 2 (33 - 31)
Instruction div: 20 (51 - 31)
Instruction float mul: 18 (49 - 31)
Instruction float div: 26 (57 - 31)
2 layer empty loops (8388608 * 1): 69519519 (69519550 - 31)
2 layer empty loops (4194304 * 2): 52962044 (52962075 - 31)
2 layer empty loops (2097152 * 4): 31470456 (31470487 - 31)
2 layer empty loops (1048576 * 8): 28094158 (28094189 - 31)
2 layer empty loops (524288 * 16): 33756467 (33756498 - 31)
2 layer empty loops (262144 * 32): 49987769 (49987800 - 31)
2 layer empty loops (131072 * 64): 42717397 (42717428 - 31)
2 layer empty loops (1M * 8): 28094677 (28094708 - 31)
2 layer empty loops (8 * 1M): 46667721 (46667752 - 31)
2 layer maccess loops (1M * 8): 207560819 (207560850 - 31)
2 layer maccess loops (8 * 1M): 251271881 (251271912 - 31)
3 layer empty loops (1M * 64 * 8): 492522159 (492522190 - 31)
3 layer empty loops (8 * 64 * 1M): 746476062 (746476093 - 31)
3 layer maccess loops (1M * 64 * 8): 1266664285 (1266664316 - 31)
3 layer maccess loops (8 * 64 * 1M): 4021486544 (4021486575 - 31)
round, BYTE, SHORT, LONG, LONGLONG
21,      9.985, 3355, 336
22,      9.986, 3515, 352
23,      9.924, 3652, 368
24,      10.000, 3840, 384
25,      10.053, 4021, 400
26,      9.964, 4145, 416
27,      9.970, 4307, 432
28,      10.049, 4502, 448
29,      10.024, 4651, 464
30,      10.035, 4817, 480
31,      10.010, 4965, 496
32,      9.990, 5115, 512
33,      13.144, 6940, 528
34,      16.180, 8802, 544
35,      19.227, 10767, 560
36,      22.188, 12780, 576
37,      24.721, 14635, 592
38,      27.161, 16514, 608
39,      29.639, 18495, 624
40,      31.886, 20407, 640
41,      33.253, 21814, 656
42,      34.470, 23164, 672
43,      35.145, 24180, 688
44,      36.118, 25427, 704
45,      37.044, 26672, 720
46,      38.493, 28331, 736
47,      39.384, 29617, 752
48,      40.914, 31422, 768
49,      40.561, 31800, 784
50,      41.181, 32945, 800
51,      41.652, 33988, 816
52,      42.153, 35071, 832
53,      42.188, 35775, 848
54,      42.465, 36690, 864
55,      42.703, 37579, 880
56,      43.069, 38590, 896
57,      43.132, 39336, 912
58,      43.089, 39987, 928
59,      43.088, 40675, 944
60,      43.120, 41395, 960
61,      43.096, 42062, 976
62,      43.129, 42784, 992
63,      43.087, 43432, 1008
64,      43.104, 44139, 1024

Measure L1 cache associative ways for window: 16384
step, latency, clocks, rounds
1,       3.375, 54, 16
2,       3.844, 123, 32
3,       3.708, 178, 48
4,       3.594, 230, 64
5,       3.087, 247, 80
6,       3.135, 301, 96
7,       3.000, 336, 112
8,       3.570, 457, 128
9,       10.007, 1441, 144
10,      9.994, 1599, 160
11,      10.057, 1770, 176
12,      10.021, 1924, 192
13,      10.014, 2083, 208
14,      10.022, 2245, 224
15,      9.950, 2388, 240
16,      10.000, 2560, 256
17,      16.169, 4398, 272
18,      22.153, 6380, 288
19,      26.970, 8199, 304
20,      31.078, 9945, 320
21,      33.902, 11391, 336
22,      34.997, 12319, 352
23,      37.685, 13868, 368
24,      39.727, 15255, 384
25,      40.358, 16143, 400
26,      41.192, 17136, 416
27,      42.421, 18326, 432
28,      43.100, 19309, 448
29,      43.127, 20011, 464
30,      43.246, 20758, 480
31,      43.171, 21413, 496
32,      43.094, 22064, 512
33,      43.150, 22783, 528
34,      43.132, 23464, 544
35,      43.243, 24216, 560
36,      43.120, 24837, 576
37,      43.029, 25473, 592
38,      43.120, 26217, 608
39,      43.103, 26896, 624
40,      43.142, 27611, 640
41,      43.157, 28311, 656
42,      43.016, 28907, 672
43,      43.125, 29670, 688
44,      43.114, 30352, 704
45,      43.100, 31032, 720
46,      43.181, 31781, 736
47,      43.137, 32439, 752
48,      43.163, 33149, 768
49,      43.099, 33790, 784
50,      43.146, 34517, 800
51,      43.156, 35215, 816
52,      43.127, 35882, 832
53,      43.112, 36559, 848
54,      43.059, 37203, 864
55,      43.101, 37929, 880
56,      43.121, 38636, 896
57,      43.137, 39341, 912
58,      43.128, 40023, 928
59,      43.093, 40680, 944
60,      43.160, 41434, 960
61,      43.143, 42108, 976
62,      43.174, 42829, 992
63,      43.102, 43447, 1008
64,      43.145, 44180, 1024

Measure L1 cache associative ways for window: 32768
step, latency, clocks, rounds
1,       2.750, 44, 16
2,       3.906, 125, 32
3,       3.688, 177, 48
4,       3.563, 228, 64
5,       3.362, 269, 80
6,       3.167, 304, 96
7,       3.250, 364, 112
8,       3.547, 454, 128
9,       12.396, 1785, 144
10,      31.581, 5053, 160
11,      35.813, 6303, 176
12,      39.219, 7530, 192
13,      42.067, 8750, 208
14,      43.219, 9681, 224
15,      43.013, 10323, 240
16,      43.059, 11023, 256
17,      43.081, 11718, 272
18,      43.087, 12409, 288
19,      43.003, 13073, 304
20,      43.125, 13800, 320
21,      43.188, 14511, 336
22,      43.097, 15170, 352
23,      43.092, 15858, 368
24,      43.193, 16586, 384
25,      43.090, 17236, 400
26,      43.082, 17922, 416
27,      43.197, 18661, 432
28,      43.223, 19364, 448
29,      43.129, 20012, 464
30,      43.048, 20663, 480
31,      43.113, 21384, 496
32,      43.084, 22059, 512
