Real Time Clock Latency: 27
Cache miss: 186 (213 - 27)  Cache hit: 6 (33 - 27)
Instruction mul: 6 (33 - 27)
Instruction div: 12 (39 - 27)
Instruction float mul: 18 (45 - 27)
Instruction float div: 27 (54 - 27)
2 layer empty loops (8388608 * 1): 49747992 (49748019 - 27)
2 layer empty loops (4194304 * 2): 29968926 (29968953 - 27)
2 layer empty loops (2097152 * 4): 26305458 (26305485 - 27)
2 layer empty loops (1048576 * 8): 26811285 (26811312 - 27)
2 layer empty loops (524288 * 16): 30047553 (30047580 - 27)
2 layer empty loops (262144 * 32): 49940469 (49940496 - 27)
2 layer empty loops (131072 * 64): 48731631 (48731658 - 27)
2 layer empty loops (1M * 8): 26661597 (26661624 - 27)
2 layer empty loops (8 * 1M): 41074119 (41074146 - 27)
2 layer maccess loops (1M * 8): 61264542 (61264569 - 27)
2 layer maccess loops (8 * 1M): 97182510 (97182537 - 27)
3 layer empty loops (1M * 64 * 8): 460473606 (460473633 - 27)
3 layer empty loops (8 * 64 * 1M): 690272451 (690272478 - 27)
3 layer maccess loops (1M * 64 * 8): 945598269 (945598296 - 27)
3 layer maccess loops (8 * 64 * 1M): 1556611188 (1556611215 - 27)
round, BYTE, SHORT, LONG, LONGLONG
56,      33.616, 30120, 896
57,      46.586, 42486, 912
58,      46.173, 42849, 928
59,      45.928, 43356, 944
60,      46.388, 44532, 960
61,      45.366, 44277, 976
62,      44.785, 44427, 992
63,      57.476, 57936, 1008
64,      56.370, 57723, 1024

Measure L1 cache associative ways for window: 131072
step, latency, clocks, rounds
1,       2.813, 45, 16
2,       2.438, 78, 32
3,       3.188, 153, 48
4,       2.719, 174, 64
5,       8.175, 654, 80
6,       8.188, 786, 96
7,       8.250, 924, 112
8,       8.625, 1104, 128
9,       20.229, 2913, 144
10,      23.550, 3768, 160
11,      25.330, 4458, 176
12,      28.828, 5535, 192
13,      29.178, 6069, 208
14,      27.107, 6072, 224
15,      27.113, 6507, 240
16,      27.105, 6939, 256
17,      30.849, 8391, 272
18,      30.938, 8910, 288
19,      32.211, 9792, 304
20,      33.563, 10740, 320
21,      33.634, 11301, 336
22,      35.949, 12654, 352
23,      33.538, 12342, 368
24,      33.516, 12870, 384
25,      33.570, 13428, 400
26,      33.570, 13965, 416
27,      33.576, 14505, 432
28,      33.542, 15027, 448
29,      33.556, 15570, 464
30,      33.556, 16107, 480
31,      33.556, 16644, 496
32,      33.580, 17193, 512
33,      33.193, 17526, 528
34,      33.232, 18078, 544
35,      33.204, 18594, 560
36,      33.266, 19161, 576
